IP Address,VRF,Status,Role,Tenant,Assigned,Parent,Interface
10.10.10.9/24,Global,Active,Loopback,Blog-VXLAN,310,BorderLeaf-02,Loopback10
10.10.10.8/24,Global,Active,Loopback,Blog-VXLAN,301,BorderLeaf-01,Loopback10
10.10.10.7/24,Global,Active,Loopback,Blog-VXLAN,368,Leaf-05,Loopback10
10.10.10.6/24,Global,Active,Loopback,Blog-VXLAN,366,Leaf-04,Loopback10
10.10.10.5/24,Global,Active,Loopback,Blog-VXLAN,364,Leaf-03,Loopback10
10.10.10.4/24,Global,Active,Loopback,Blog-VXLAN,362,Leaf-02,Loopback10
10.10.10.3/24,Global,Active,Loopback,Blog-VXLAN,374,Leaf-01,Loopback10
10.10.10.2/24,Global,Active,Loopback,Blog-VXLAN,372,Spine-02,Loopback10
10.10.10.1/24,Global,Active,Loopback,Blog-VXLAN,370,Spine-01,Loopback10
10.1.0.9/24,Global,Active,Loopback,Blog-VXLAN,311,BorderLeaf-02,Loopback20
10.1.0.8/24,Global,Active,Loopback,Blog-VXLAN,302,BorderLeaf-01,Loopback20
10.1.0.7/24,Global,Active,Loopback,Blog-VXLAN,369,Leaf-05,Loopback20
10.1.0.6/24,Global,Active,Loopback,Blog-VXLAN,367,Leaf-04,Loopback20
10.1.0.5/24,Global,Active,Loopback,Blog-VXLAN,365,Leaf-03,Loopback20
10.1.0.4/24,Global,Active,Loopback,Blog-VXLAN,363,Leaf-02,Loopback20
10.1.0.3/24,Global,Active,Loopback,Blog-VXLAN,375,Leaf-01,Loopback20
10.1.0.2/24,Global,Active,Loopback,Blog-VXLAN,373,Spine-02,Loopback20
10.1.0.1/24,Global,Active,Loopback,Blog-VXLAN,371,Spine-01,Loopback20
10.0.0.54/32,Global,Active,,Blog-VXLAN,305,BorderLeaf-02,Ethernet1/2
10.0.0.53/32,Global,Active,,Blog-VXLAN,359,Spine-02,Ethernet1/8
10.0.0.50/32,Global,Active,,Blog-VXLAN,297,BorderLeaf-01,Ethernet1/2
10.0.0.49/32,Global,Active,,Blog-VXLAN,358,Spine-02,Ethernet1/7
10.0.0.46/32,Global,Active,,Blog-VXLAN,338,Leaf-05,Ethernet1/2
10.0.0.45/32,Global,Active,,Blog-VXLAN,341,Leaf-05,Ethernet1/5
10.0.0.42/32,Global,Active,,Blog-VXLAN,332,Leaf-04,Ethernet1/2
10.0.0.41/32,Global,Active,,Blog-VXLAN,355,Spine-02,Ethernet1/4
10.0.0.38/32,Global,Active,,Blog-VXLAN,327,Leaf-03,Ethernet1/3
10.0.0.37/32,Global,Active,,Blog-VXLAN,354,Spine-02,Ethernet1/3
10.0.0.34/32,Global,Active,,Blog-VXLAN,320,Leaf-02,Ethernet1/2
10.0.0.33/32,Global,Active,,Blog-VXLAN,353,Spine-02,Ethernet1/2
10.0.0.30/32,Global,Active,,Blog-VXLAN,314,Leaf-01,Ethernet1/2
10.0.0.29/32,Global,Active,,Blog-VXLAN,352,Spine-02,Ethernet1/1
10.0.0.26/32,Global,Active,,Blog-VXLAN,304,BorderLeaf-02,Ethernet1/1
10.0.0.25/32,Global,Active,,Blog-VXLAN,350,Spine-01,Ethernet1/8
10.0.0.22/32,Global,Active,,Blog-VXLAN,296,BorderLeaf-01,Ethernet1/1
10.0.0.21/32,Global,Active,,Blog-VXLAN,349,Spine-01,Ethernet1/7
10.0.0.18/32,Global,Active,,Blog-VXLAN,337,Leaf-05,Ethernet1/1
10.0.0.17/32,Global,Active,,Blog-VXLAN,347,Spine-01,Ethernet1/5
10.0.0.14/32,Global,Active,,Blog-VXLAN,331,Leaf-04,Ethernet1/1
10.0.0.13/32,Global,Active,,Blog-VXLAN,346,Spine-01,Ethernet1/4
10.0.0.10/32,Global,Active,,Blog-VXLAN,325,Leaf-03,Ethernet1/1
10.0.0.9/32,Global,Active,,Blog-VXLAN,345,Spine-01,Ethernet1/3
10.0.0.6/32,Global,Active,,Blog-VXLAN,319,Leaf-02,Ethernet1/1
10.0.0.5/32,Global,Active,,Blog-VXLAN,344,Spine-01,Ethernet1/2
10.0.0.2/32,Global,Active,,Blog-VXLAN,313,Leaf-01,Ethernet1/1
10.0.0.1/32,Global,Active,,Blog-VXLAN,343,Spine-01,Ethernet1/1
